conflict_id,rejection_reason
c0_s1_0006_7165_3588,shape_lost_or_background_dominates
c0_s1_0007_5255_275,shape_lost_or_background_dominates
c0_s1_0008_5711_275,shape_lost_or_background_dominates
c0_s1_0019_480_6068,shape_lost_or_background_dominates
c0_s1_0021_1463_5394,shape_lost_or_background_dominates
c1_s0_0004_4188_3759,shape_lost_or_background_dominates
c1_s0_0006_7066_3759,shape_lost_or_background_dominates
c1_s0_0007_3588_298,shape_lost_or_background_dominates
c1_s0_0009_6068_808,shape_lost_or_background_dominates
c1_s0_0019_564_5255,shape_lost_or_background_dominates
c1_s2_0005_1740_6738,shape_lost_or_background_dominates
c1_s2_0008_1428_4316,shape_lost_or_background_dominates
c1_s2_0013_4361_3641,shape_lost_or_background_dominates
c1_s2_0020_275_3944,shape_lost_or_background_dominates
c1_s2_0023_225_6738,shape_lost_or_background_dominates
c2_s1_0003_6981_463,shape_lost_or_background_dominates
c2_s1_0011_7826_61,shape_lost_or_background_dominates
c2_s1_0017_2436_2673,shape_lost_or_background_dominates
c2_s1_0020_6981_1218,shape_lost_or_background_dominates
c2_s1_0021_4605_7217,shape_lost_or_background_dominates
c7_s9_0003_230_2379,shape_lost_or_background_dominates
c7_s9_0010_7608_4956,shape_lost_or_background_dominates
c7_s9_0013_6869_732,shape_lost_or_background_dominates
c7_s9_0023_1122_2682,shape_lost_or_background_dominates
c7_s9_0024_1985_852,shape_lost_or_background_dominates
c9_s7_0000_352_6663,shape_lost_or_background_dominates
c9_s7_0016_5211_1985,shape_lost_or_background_dominates
c9_s7_0018_6202_57,shape_lost_or_background_dominates
c9_s7_0022_2379_6869,shape_lost_or_background_dominates
c9_s7_0024_352_3581,shape_lost_or_background_dominates
c2_s4_0000_7327_6587,shape_lost_or_background_dominates
c2_s4_0007_7843_490,shape_lost_or_background_dominates
c2_s4_0014_88_2862,shape_lost_or_background_dominates
c2_s4_0015_1059_490,shape_lost_or_background_dominates
c2_s4_0023_7327_1223,shape_lost_or_background_dominates
c4_s2_0000_4089_7392,shape_lost_or_background_dominates
c4_s2_0001_7387_7711,shape_lost_or_background_dominates
c4_s2_0012_51_6216,shape_lost_or_background_dominates
c4_s2_0022_7661_2909,shape_lost_or_background_dominates
c4_s2_0024_5708_5663,shape_lost_or_background_dominates
c1_s3_0000_4733_4720,shape_lost_or_background_dominates
c1_s3_0012_6068_6094,shape_lost_or_background_dominates
c1_s3_0017_3388_1968,shape_lost_or_background_dominates
c1_s3_0018_4733_185,shape_lost_or_background_dominates
c1_s3_0023_2673_3375,shape_lost_or_background_dominates
c3_s1_0003_1563_7066,shape_lost_or_background_dominates
c3_s1_0005_5551_3537,shape_lost_or_background_dominates
c3_s1_0015_4184_5093,shape_lost_or_background_dominates
c3_s1_0016_3375_61,shape_lost_or_background_dominates
c3_s1_0021_5522_1353,shape_lost_or_background_dominates
