conflict_id         , pair          , content_class, style_class, content_id, style_id, alpha, resnet50_prediction, resnet50_decision, vit_b_16_prediction, vit_b_16_decision, clip_vit_b_32_prediction, clip_vit_b_32_decision, clip_vit_b_32_zero_shot_prediction, clip_vit_b_32_zero_shot_decision
c0_s1_0000_7975_3588, airplane__bird, airplane     , bird       ,       7975,     3588,   0.7, ship               , other            , airplane           , shape            , airplane                , shape                 , airplane                          , shape
c0_s1_0001_6500_5425, airplane__bird, airplane     , bird       ,       6500,     5425,   0.7, bird               , texture          , airplane           , shape            , airplane                , shape                 , airplane                          , shape
c0_s1_0002_359_3161 , airplane__bird, airplane     , bird       ,        359,     3161,   0.7, ship               , other            , airplane           , shape            , airplane                , shape                 , airplane                          , shape
c0_s1_0003_808_6982 , airplane__bird, airplane     , bird       ,        808,     6982,   0.7, bird               , texture          , airplane           , shape            , airplane                , shape                 , airplane                          , shape
c0_s1_0004_422_5240 , airplane__bird, airplane     , bird       ,        422,     5240,   0.7, deer               , other            , airplane           , shape            , airplane                , shape                 , bird                              , texture
c0_s1_0005_7782_4188, airplane__bird, airplane     , bird       ,       7782,     4188,   0.7, airplane           , shape            , airplane           , shape            , airplane                , shape                 , airplane                          , shape
c0_s1_0009_5067_5093, airplane__bird, airplane     , bird       ,       5067,     5093,   0.7, bird               , texture          , bird               , texture          , bird                    , texture               , bird                              , texture
c0_s1_0010_5276_1428, airplane__bird, airplane     , bird       ,       5276,     1428,   0.7, bird               , texture          , airplane           , shape            , airplane                , shape                 , airplane                          , shape
c0_s1_0011_298_4361 , airplane__bird, airplane     , bird       ,        298,     4361,   0.7, bird               , texture          , airplane           , shape            , airplane                , shape                 , airplane                          , shape
c0_s1_0012_480_4188 , airplane__bird, airplane     , bird       ,        480,     4188,   0.7, bird               , texture          , airplane           , shape            , airplane                , shape                 , airplane                          , shape
c0_s1_0013_5068_6498, airplane__bird, airplane     , bird       ,       5068,     6498,   0.7, airplane           , shape            , airplane           , shape            , airplane                , shape                 , airplane                          , shape
c0_s1_0014_5068_564 , airplane__bird, airplane     , bird       ,       5068,      564,   0.7, bird               , texture          , airplane           , shape            , airplane                , shape                 , airplane                          , shape
c0_s1_0015_241_1428 , airplane__bird, airplane     , bird       ,        241,     1428,   0.7, bird               , texture          , airplane           , shape            , bird                    , texture               , ship                              , other
c0_s1_0016_1463_3530, airplane__bird, airplane     , bird       ,       1463,     3530,   0.7, bird               , texture          , airplane           , shape            , airplane                , shape                 , airplane                          , shape
c0_s1_0017_2937_5394, airplane__bird, airplane     , bird       ,       2937,     5394,   0.7, bird               , texture          , airplane           , shape            , airplane                , shape                 , airplane                          , shape
c0_s1_0018_5624_5830, airplane__bird, airplane     , bird       ,       5624,     5830,   0.7, airplane           , shape            , airplane           , shape            , airplane                , shape                 , airplane                          , shape
c0_s1_0020_5068_4709, airplane__bird, airplane     , bird       ,       5068,     4709,   0.7, bird               , texture          , airplane           , shape            , airplane                , shape                 , airplane                          , shape
c0_s1_0022_1463_3834, airplane__bird, airplane     , bird       ,       1463,     3834,   0.7, bird               , texture          , bird               , texture          , bird                    , texture               , bird                              , texture
c0_s1_0023_241_6410 , airplane__bird, airplane     , bird       ,        241,     6410,   0.7, deer               , other            , airplane           , shape            , airplane                , shape                 , airplane                          , shape
c0_s1_0024_5785_1428, airplane__bird, airplane     , bird       ,       5785,     1428,   0.7, airplane           , shape            , bird               , texture          , airplane                , shape                 , airplane                          , shape
c1_s0_0000_6014_4533, airplane__bird, bird         , airplane   ,       6014,     4533,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s0_0001_3144_7165, airplane__bird, bird         , airplane   ,       3144,     7165,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s0_0002_963_7334 , airplane__bird, bird         , airplane   ,        963,     7334,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s0_0003_1428_3999, airplane__bird, bird         , airplane   ,       1428,     3999,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s0_0005_4709_2210, airplane__bird, bird         , airplane   ,       4709,     2210,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s0_0008_4188_7334, airplane__bird, bird         , airplane   ,       4188,     7334,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s0_0010_5830_3999, airplane__bird, bird         , airplane   ,       5830,     3999,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s0_0011_2988_339 , airplane__bird, bird         , airplane   ,       2988,      339,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s0_0012_5546_60  , airplane__bird, bird         , airplane   ,       5546,       60,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s0_0013_1218_5276, airplane__bird, bird         , airplane   ,       1218,     5276,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s0_0014_3161_728 , airplane__bird, bird         , airplane   ,       3161,      728,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s0_0015_5929_3759, airplane__bird, bird         , airplane   ,       5929,     3759,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s0_0016_1302_7975, airplane__bird, bird         , airplane   ,       1302,     7975,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s0_0017_5425_60  , airplane__bird, bird         , airplane   ,       5425,       60,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s0_0018_963_3397 , airplane__bird, bird         , airplane   ,        963,     3397,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s0_0020_3834_298 , airplane__bird, bird         , airplane   ,       3834,      298,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s0_0021_5929_4533, airplane__bird, bird         , airplane   ,       5929,     4533,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s0_0022_1353_1977, airplane__bird, bird         , airplane   ,       1353,     1977,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s0_0023_4709_60  , airplane__bird, bird         , airplane   ,       4709,       60,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s0_0024_225_3999 , airplane__bird, bird         , airplane   ,        225,     3999,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s2_0000_1740_6683, bird__car     , bird         , car        ,       1740,     6683,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s2_0001_225_5577 , bird__car     , bird         , car        ,        225,     5577,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s2_0002_6022_7711, bird__car     , bird         , car        ,       6022,     7711,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s2_0003_5546_6683, bird__car     , bird         , car        ,       5546,     6683,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s2_0004_5240_2436, bird__car     , bird         , car        ,       5240,     2436,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s2_0006_7066_3067, bird__car     , bird         , car        ,       7066,     3067,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s2_0007_1428_5463, bird__car     , bird         , car        ,       1428,     5463,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s2_0009_2988_7327, bird__car     , bird         , car        ,       2988,     7327,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s2_0010_5093_2909, bird__car     , bird         , car        ,       5093,     2909,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s2_0011_1740_1179, bird__car     , bird         , car        ,       1740,     1179,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s2_0012_6014_6548, bird__car     , bird         , car        ,       6014,     6548,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s2_0014_5425_6548, bird__car     , bird         , car        ,       5425,     6548,   0.7, airplane           , other            , airplane           , other            , car                     , texture               , car                               , texture
c1_s2_0015_5929_2252, bird__car     , bird         , car        ,       5929,     2252,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s2_0016_3537_6795, bird__car     , bird         , car        ,       3537,     6795,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s2_0017_2673_313 , bird__car     , bird         , car        ,       2673,      313,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s2_0018_3530_2611, bird__car     , bird         , car        ,       3530,     2611,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s2_0019_275_6548 , bird__car     , bird         , car        ,        275,     6548,   0.7, airplane           , other            , airplane           , other            , bird                    , shape                 , bird                              , shape
c1_s2_0021_5093_6738, bird__car     , bird         , car        ,       5093,     6738,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s2_0022_275_2915 , bird__car     , bird         , car        ,        275,     2915,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s2_0024_225_4316 , bird__car     , bird         , car        ,        225,     4316,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c2_s1_0000_7392_3588, bird__car     , car          , bird       ,       7392,     3588,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s1_0001_5011_5929, bird__car     , car          , bird       ,       5011,     5929,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s1_0002_6216_4733, bird__car     , car          , bird       ,       6216,     4733,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s1_0004_2436_1302, bird__car     , car          , bird       ,       2436,     1302,   0.7, bird               , texture          , car                , shape            , car                     , shape                 , car                               , shape
c2_s1_0005_2611_5425, bird__car     , car          , bird       ,       2611,     5425,   0.7, car                , shape            , car                , shape            , airplane                , other                 , truck                             , other
c2_s1_0006_2392_3161, bird__car     , car          , bird       ,       2392,     3161,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s1_0007_1731_4709, bird__car     , car          , bird       ,       1731,     4709,   0.7, bird               , texture          , car                , shape            , car                     , shape                 , car                               , shape
c2_s1_0008_1179_6938, bird__car     , car          , bird       ,       1179,     6938,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s1_0009_6548_1428, bird__car     , car          , bird       ,       6548,     1428,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s1_0010_1731_6498, bird__car     , car          , bird       ,       1731,     6498,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s1_0012_4605_7066, bird__car     , car          , bird       ,       4605,     7066,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s1_0013_1179_3588, bird__car     , car          , bird       ,       1179,     3588,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s1_0014_2503_3530, bird__car     , car          , bird       ,       2503,     3530,   0.7, horse              , other            , car                , shape            , car                     , shape                 , car                               , shape
c2_s1_0015_5577_5093, bird__car     , car          , bird       ,       5577,     5093,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s1_0016_6981_3254, bird__car     , car          , bird       ,       6981,     3254,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s1_0018_3067_3834, bird__car     , car          , bird       ,       3067,     3834,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s1_0019_6738_1081, bird__car     , car          , bird       ,       6738,     1081,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s1_0022_2611_7066, bird__car     , car          , bird       ,       2611,     7066,   0.7, car                , shape            , airplane           , other            , car                     , shape                 , car                               , shape
c2_s1_0023_5004_3161, bird__car     , car          , bird       ,       5004,     3161,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s1_0024_1179_6072, bird__car     , car          , bird       ,       1179,     6072,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c1_s3_0001_6938_6094, bird__cat     , bird         , cat        ,       6938,     6094,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s3_0002_4733_3375, bird__cat     , bird         , cat        ,       4733,     3375,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
