model_name,n_total,n_shape,n_texture,n_other,shape_bias_pct,coverage_pct,content_class,style_class
resnet50,20,4,12,4,25.0,80.0,airplane,bird
resnet50,20,20,0,0,100.0,100.0,bird,airplane
resnet50,20,18,0,2,100.0,90.0,bird,car
resnet50,20,17,0,3,100.0,85.0,bird,cat
resnet50,20,17,2,1,89.47368421052632,95.0,car,bird
resnet50,20,16,1,3,94.11764705882354,85.0,car,deer
resnet50,20,13,4,3,76.47058823529412,85.0,cat,bird
resnet50,20,13,0,7,100.0,65.0,deer,car
resnet50,20,7,2,11,77.77777777777777,45.0,monkey,truck
resnet50,20,14,0,6,100.0,70.0,truck,monkey
vit_b_16,20,17,3,0,85.0,100.0,airplane,bird
vit_b_16,20,20,0,0,100.0,100.0,bird,airplane
vit_b_16,20,18,0,2,100.0,90.0,bird,car
vit_b_16,20,19,0,1,100.0,95.0,bird,cat
vit_b_16,20,19,0,1,100.0,95.0,car,bird
vit_b_16,20,19,0,1,100.0,95.0,car,deer
vit_b_16,20,18,0,2,100.0,90.0,cat,bird
vit_b_16,20,16,0,4,100.0,80.0,deer,car
vit_b_16,20,16,1,3,94.11764705882354,85.0,monkey,truck
vit_b_16,20,17,0,3,100.0,85.0,truck,monkey
clip_vit_b_32,20,17,3,0,85.0,100.0,airplane,bird
clip_vit_b_32,20,20,0,0,100.0,100.0,bird,airplane
clip_vit_b_32,20,19,1,0,95.0,100.0,bird,car
clip_vit_b_32,20,18,1,1,94.73684210526316,95.0,bird,cat
clip_vit_b_32,20,19,0,1,100.0,95.0,car,bird
clip_vit_b_32,20,19,0,1,100.0,95.0,car,deer
clip_vit_b_32,20,17,1,2,94.44444444444444,90.0,cat,bird
clip_vit_b_32,20,11,0,9,100.0,55.0,deer,car
clip_vit_b_32,20,12,4,4,75.0,80.0,monkey,truck
clip_vit_b_32,20,19,1,0,95.0,100.0,truck,monkey
clip_vit_b_32_zero_shot,20,16,3,1,84.21052631578948,95.0,airplane,bird
clip_vit_b_32_zero_shot,20,20,0,0,100.0,100.0,bird,airplane
clip_vit_b_32_zero_shot,20,19,1,0,95.0,100.0,bird,car
clip_vit_b_32_zero_shot,20,18,0,2,100.0,90.0,bird,cat
clip_vit_b_32_zero_shot,20,19,0,1,100.0,95.0,car,bird
clip_vit_b_32_zero_shot,20,20,0,0,100.0,100.0,car,deer
clip_vit_b_32_zero_shot,20,14,1,5,93.33333333333333,75.0,cat,bird
clip_vit_b_32_zero_shot,20,16,0,4,100.0,80.0,deer,car
clip_vit_b_32_zero_shot,20,12,2,6,85.71428571428571,70.0,monkey,truck
clip_vit_b_32_zero_shot,20,18,1,1,94.73684210526316,95.0,truck,monkey
