method,conflict_id,content_class,style_class,decision,clean_prediction_is_content,texture_rank_clean,texture_rank_conflict,texture_prob_clean,texture_prob_conflict,shape_prob_clean,shape_prob_conflict
resnet50,c0_s1_0000_7975_3588,airplane,bird,other,True,2,3,0.003126160241663456,0.19095589220523834,0.993979811668396,0.12008205056190491
resnet50,c0_s1_0001_6500_5425,airplane,bird,texture,True,2,1,0.005030629690736532,0.9576960206031799,0.9927934408187866,0.03483344241976738
resnet50,c0_s1_0002_359_3161,airplane,bird,other,True,4,4,0.00014220202865544707,0.09996252506971359,0.9928145408630371,0.1940837949514389
resnet50,c0_s1_0003_808_6982,airplane,bird,texture,True,7,1,0.00029580603586509824,0.7673476338386536,0.9912864565849304,0.015261045657098293
resnet50,c0_s1_0004_422_5240,airplane,bird,other,True,7,2,3.3383097616024315e-05,0.4633912742137909,0.9987485408782959,1.4734822798345704e-05
resnet50,c0_s1_0005_7782_4188,airplane,bird,shape,True,2,3,0.004579527303576469,0.08013642579317093,0.9865108728408813,0.607397735118866
resnet50,c0_s1_0009_5067_5093,airplane,bird,texture,True,2,1,0.006893991958349943,0.9399359822273254,0.9873036742210388,0.006613792385905981
resnet50,c0_s1_0010_5276_1428,airplane,bird,texture,True,2,1,0.00010592945181997493,0.9977053999900818,0.9998001456260681,0.0015622625360265374
resnet50,c0_s1_0011_298_4361,airplane,bird,texture,True,8,1,2.6571542548481375e-05,0.997191846370697,0.996465802192688,4.3913045374210924e-05
resnet50,c0_s1_0012_480_4188,airplane,bird,texture,True,2,1,0.005357136484235525,0.5387275815010071,0.9899613857269287,0.23503407835960388
resnet50,c0_s1_0013_5068_6498,airplane,bird,shape,True,7,5,4.172408443992026e-05,0.0024200931657105684,0.9964306950569153,0.5052125453948975
resnet50,c0_s1_0014_5068_564,airplane,bird,texture,True,7,1,4.172408443992026e-05,0.9717497229576111,0.9964306950569153,0.0002466269943397492
resnet50,c0_s1_0015_241_1428,airplane,bird,texture,True,2,1,0.00015130621613934636,0.5419487357139587,0.999467670917511,0.0015300614759325981
resnet50,c0_s1_0016_1463_3530,airplane,bird,texture,True,2,1,0.010657573118805885,0.9927822351455688,0.9882358908653259,0.0011435687774792314
resnet50,c0_s1_0017_2937_5394,airplane,bird,texture,True,6,1,2.0387703898450127e-06,0.8517325520515442,0.9998045563697815,0.0007933960296213627
resnet50,c0_s1_0018_5624_5830,airplane,bird,shape,True,3,2,0.001722676563076675,0.023806490004062653,0.9898223876953125,0.9649896621704102
resnet50,c0_s1_0020_5068_4709,airplane,bird,texture,True,7,1,4.172408443992026e-05,0.9939190149307251,0.9964306950569153,1.6135702026076615e-05
resnet50,c0_s1_0022_1463_3834,airplane,bird,texture,True,2,1,0.010657573118805885,0.9998244643211365,0.9882358908653259,0.00013421133917290717
resnet50,c0_s1_0023_241_6410,airplane,bird,other,True,2,2,0.00015130621613934636,0.26523783802986145,0.999467670917511,0.05245039984583855
resnet50,c0_s1_0024_5785_1428,airplane,bird,shape,True,3,7,4.1523435356793925e-05,0.00024086162738967687,0.9998377561569214,0.9560725092887878
resnet50,c1_s0_0000_6014_4533,bird,airplane,shape,True,5,4,1.2855172144554672e-06,7.281316356966272e-06,0.9999597072601318,0.9999326467514038
resnet50,c1_s0_0001_3144_7165,bird,airplane,shape,True,5,6,0.024256998673081398,0.0007241524290293455,0.8063724040985107,0.9888551831245422
resnet50,c1_s0_0002_963_7334,bird,airplane,shape,True,5,8,2.914793640229618e-06,3.5418358379502024e-07,0.9991647005081177,0.9996627569198608
resnet50,c1_s0_0003_1428_3999,bird,airplane,shape,True,7,2,2.6120399070350686e-06,0.015409840270876884,0.9998512268066406,0.9751452207565308
resnet50,c1_s0_0005_4709_2210,bird,airplane,shape,True,7,7,0.00044289565994404256,5.088448688184144e-06,0.9932377338409424,0.9997521042823792
resnet50,c1_s0_0008_4188_7334,bird,airplane,shape,True,4,3,0.00010748367640189826,4.2205203499179333e-05,0.9993637204170227,0.9998326301574707
resnet50,c1_s0_0010_5830_3999,bird,airplane,shape,True,2,2,0.00015585900109726936,0.006456426344811916,0.9995583891868591,0.9932077527046204
resnet50,c1_s0_0011_2988_339,bird,airplane,shape,True,4,9,3.977492087869905e-05,2.7920432188466293e-08,0.9997574687004089,0.9999871253967285
resnet50,c1_s0_0012_5546_60,bird,airplane,shape,True,2,2,9.695484914118424e-05,0.00018817270756699145,0.9997531771659851,0.9995666146278381
resnet50,c1_s0_0013_1218_5276,bird,airplane,shape,True,2,5,9.07550856936723e-05,1.4375067394212238e-06,0.9997571110725403,0.9999877214431763
resnet50,c1_s0_0014_3161_728,bird,airplane,shape,True,7,6,8.692451956449077e-06,2.215993504250946e-07,0.9996402263641357,0.9999775886535645
resnet50,c1_s0_0015_5929_3759,bird,airplane,shape,True,5,7,2.7623048026725883e-06,6.173445399326738e-07,0.9999303817749023,0.9999557733535767
resnet50,c1_s0_0016_1302_7975,bird,airplane,shape,True,3,3,0.001083018141798675,0.0009778328239917755,0.9951769113540649,0.9965908527374268
resnet50,c1_s0_0017_5425_60,bird,airplane,shape,True,2,3,0.00022414728300645947,0.00236329878680408,0.9996229410171509,0.9928755760192871
resnet50,c1_s0_0018_963_3397,bird,airplane,shape,True,5,10,2.914793640229618e-06,0.0005732100107707083,0.9991647005081177,0.9690163731575012
resnet50,c1_s0_0020_3834_298,bird,airplane,shape,True,5,8,2.5561592337908223e-05,6.376682293307567e-09,0.9996942281723022,0.9999990463256836
resnet50,c1_s0_0021_5929_4533,bird,airplane,shape,True,5,6,2.7623048026725883e-06,4.5994955144124106e-05,0.9999303817749023,0.9983578324317932
resnet50,c1_s0_0022_1353_1977,bird,airplane,shape,True,8,2,0.008340245112776756,0.00025766261387616396,0.802504301071167,0.9996083378791809
resnet50,c1_s0_0023_4709_60,bird,airplane,shape,True,7,8,0.00044289565994404256,1.2559322613014956e-06,0.9932377338409424,0.9999110698699951
resnet50,c1_s0_0024_225_3999,bird,airplane,shape,True,2,2,0.0007240199483931065,0.026453841477632523,0.9992043375968933,0.9705426692962646
resnet50,c1_s2_0000_1740_6683,bird,car,shape,True,9,10,5.29112412550603e-06,1.128861003962811e-05,0.9992116689682007,0.9965523481369019
