quantity            , method                 , condition    , n  , estimate           , ci_low              , ci_high             , interval
top-1 accuracy (%)  , resnet50               , baseline     , 500, 97.8               , 96.10391387886837   , 98.76719917300724   , Wilson 95%
top-1 accuracy (%)  , resnet50               , grey_scale   , 500, 96.39999999999999  , 94.38156730319722   , 97.71089390197072   , Wilson 95%
top-1 accuracy (%)  , resnet50               , hue          , 500, 96.2               , 94.1415227469356    , 97.55398819441696   , Wilson 95%
top-1 accuracy (%)  , resnet50               , patch_shuffle, 500, 90.0               , 87.05780903680599   , 92.33224372626984   , Wilson 95%
top-1 accuracy (%)  , vit_b_16               , baseline     , 500, 98.8               , 97.40696388835526   , 99.44890048259724   , Wilson 95%
top-1 accuracy (%)  , vit_b_16               , grey_scale   , 500, 96.6               , 94.62286344983654   , 97.86654801914678   , Wilson 95%
top-1 accuracy (%)  , vit_b_16               , hue          , 500, 98.0               , 96.35798167531208   , 98.91008164037892   , Wilson 95%
top-1 accuracy (%)  , vit_b_16               , patch_shuffle, 500, 92.60000000000001  , 89.96652466777695   , 94.5838815248988    , Wilson 95%
top-1 accuracy (%)  , clip_vit_b_32          , baseline     , 500, 97.8               , 96.10391387886837   , 98.76719917300724   , Wilson 95%
top-1 accuracy (%)  , clip_vit_b_32          , grey_scale   , 500, 95.39999999999999  , 93.19222072317267   , 96.91548916291838   , Wilson 95%
top-1 accuracy (%)  , clip_vit_b_32          , hue          , 500, 97.8               , 96.10391387886837   , 98.76719917300724   , Wilson 95%
top-1 accuracy (%)  , clip_vit_b_32          , patch_shuffle, 500, 84.0               , 80.52918208363084   , 86.95236276498359   , Wilson 95%
top-1 accuracy (%)  , clip_vit_b_32_zero_shot, baseline     , 500, 96.8               , 94.86551309545582   , 98.0208486373429    , Wilson 95%
top-1 accuracy (%)  , clip_vit_b_32_zero_shot, grey_scale   , 500, 94.39999999999999  , 92.0255206353293    , 96.09743793168485   , Wilson 95%
top-1 accuracy (%)  , clip_vit_b_32_zero_shot, hue          , 500, 95.8               , 93.66484142456699   , 97.23676898915483   , Wilson 95%
top-1 accuracy (%)  , clip_vit_b_32_zero_shot, patch_shuffle, 500, 84.0               , 80.52918208363084   , 86.95236276498359   , Wilson 95%
coverage (%)        , resnet50               , cue_conflict , 200, 80.0               , 73.91448134346213   , 84.95479907390188   , Wilson 95%
shape bias (%)      , resnet50               , cue_conflict , 160, 86.875             , 81.41025641025641   , 91.875              , bootstrap 95%
coverage (%)        , vit_b_16               , cue_conflict , 200, 91.5               , 86.81041292843443   , 94.62542498225244   , Wilson 95%
shape bias (%)      , vit_b_16               , cue_conflict , 183, 97.81420765027322  , 95.55555555555556   , 99.46808510638297   , bootstrap 95%
coverage (%)        , clip_vit_b_32          , cue_conflict , 200, 91.0               , 86.22342812328347   , 94.23125511378069   , Wilson 95%
shape bias (%)      , clip_vit_b_32          , cue_conflict , 182, 93.95604395604396  , 90.17317350516441   , 97.22222222222223   , bootstrap 95%
coverage (%)        , clip_vit_b_32_zero_shot, cue_conflict , 200, 90.0               , 85.05941875672825   , 93.43295513309042   , Wilson 95%
shape bias (%)      , clip_vit_b_32_zero_shot, cue_conflict , 180, 95.55555555555556  , 92.22222222222223   , 98.33333333333333   , bootstrap 95%
cosine stability I_T, resnet50               , grey_scale   , 500,  0.8049167394638062,  0.7965946048498154 ,  0.8131752654910087 , bootstrap 95%
cosine stability I_T, resnet50               , hue          , 500,  0.8984512090682983,  0.8921687066555023 ,  0.9044568940997124 , bootstrap 95%
cosine stability I_T, resnet50               , patch_shuffle, 500,  0.6996662616729736,  0.6936926528811455 ,  0.7056732848286629 , bootstrap 95%
cosine stability I_T, resnet50               , cue_conflict , 200,  0.4417562782764435,  0.4211078003048897 ,  0.46217864006757736, bootstrap 95%
cosine stability I_T, vit_b_16               , grey_scale   , 500,  0.7433883547782898,  0.7319549918174744 ,  0.7547376915812493 , bootstrap 95%
cosine stability I_T, vit_b_16               , hue          , 500,  0.8789374232292175,  0.8719040438532829 ,  0.8858164712786675 , bootstrap 95%
cosine stability I_T, vit_b_16               , patch_shuffle, 500,  0.6290247440338135,  0.6183243110775948 ,  0.6396182999014854 , bootstrap 95%
cosine stability I_T, vit_b_16               , cue_conflict , 200,  0.4799283742904663,  0.45512288361787795,  0.50424215644598   , bootstrap 95%
cosine stability I_T, clip_vit_b_32          , grey_scale   , 500,  0.8883438110351562,  0.8846436887979507 ,  0.8919871881604194 , bootstrap 95%
cosine stability I_T, clip_vit_b_32          , hue          , 500,  0.9541994333267212,  0.9519152611494064 ,  0.9564539015293121 , bootstrap 95%
cosine stability I_T, clip_vit_b_32          , patch_shuffle, 500,  0.7482632994651794,  0.7431585475802421 ,  0.7531860500574112 , bootstrap 95%
cosine stability I_T, clip_vit_b_32          , cue_conflict , 200,  0.775422215461731 ,  0.7640978410840035 ,  0.786472487449646  , bootstrap 95%
