backbone     , condition            , n   , cosine_stability_mean, cosine_std          , cosine_median      , cosine_p10         , cosine_min
resnet50     , grey_scale           ,  500,   0.804916718840599  , 0.09515236722074318 , 0.8171910047531128 , 0.6740066349506378 , 0.4357105493545532
resnet50     , hue                  ,  500,   0.8984512346982956 , 0.06965376736069263 , 0.9186229705810547 , 0.7945300281047821 , 0.5094790458679199
resnet50     , patch_shuffle        ,  500,   0.6996663038730622 , 0.0686966980367856  , 0.7051714658737183 , 0.6079901814460754 , 0.473876416683197
resnet50     , translation_right_8  ,  500,   0.9649118854999542 , 0.01956790864796747 , 0.9693571329116821 , 0.9373726606369018 , 0.8801854848861694
resnet50     , translation_left_8   ,  500,   0.9736014374494553 , 0.012815597599194876, 0.9760927557945251 , 0.9561028897762298 , 0.9101307392120361
resnet50     , translation_down_8   ,  500,   0.9640164904594422 , 0.019198819733297512, 0.968573272228241  , 0.942876535654068  , 0.848334550857544
resnet50     , translation_up_8     ,  500,   0.9680855345726013 , 0.015236004100999921, 0.9707870483398438 , 0.9517357409000397 , 0.8512149453163147
resnet50     , translation_right_16 ,  500,   0.942761969447136  , 0.033741529248014164, 0.9520703554153442 , 0.8932852923870087 , 0.8002256155014038
resnet50     , translation_left_16  ,  500,   0.9613838917016984 , 0.020437410924273237, 0.966666579246521  , 0.935976791381836  , 0.8432088494300842
resnet50     , translation_down_16  ,  500,   0.9469057906866074 , 0.030921922523394506, 0.9542824625968933 , 0.9120707035064697 , 0.7114385962486267
resnet50     , translation_up_16    ,  500,   0.9536240130662919 , 0.022864147860567827, 0.9588124752044678 , 0.9260120868682862 , 0.8327498435974121
resnet50     , translation_right_32 ,  500,   0.9168423092365265 , 0.043847372262889296, 0.9257922172546387 , 0.8587839066982269 , 0.7399863600730896
resnet50     , translation_left_32  ,  500,   0.9409942718744277 , 0.034122521981535356, 0.9485531449317932 , 0.8916938066482544 , 0.7995641231536865
resnet50     , translation_down_32  ,  500,   0.9283501685857772 , 0.0458112505846528  , 0.9408159852027893 , 0.8646025776863098 , 0.6920060515403748
resnet50     , translation_up_32    ,  500,   0.9359768590927124 , 0.03702880595284054 , 0.9416120052337646 , 0.8874263405799866 , 0.7272375226020813
resnet50     , cue_conflict         ,  200,   0.4417562981694937 , 0.1489517124488672  , 0.44911056756973267, 0.24366855919361113, 0.10445612668991089
resnet50     , translation_8px_mean , 2000,   0.9676538369953632 ,                     ,                    ,                    , 0.848334550857544
resnet50     , translation_16px_mean, 2000,   0.9511689162254333 ,                     ,                    ,                    , 0.7114385962486267
resnet50     , translation_32px_mean, 2000,   0.930540902197361  ,                     ,                    ,                    , 0.6920060515403748
vit_b_16     , grey_scale           ,  500,   0.7433883739709854 , 0.12882528994453699 , 0.7598419189453125 , 0.5585254728794098 , 0.3193991780281067
vit_b_16     , hue                  ,  500,   0.8789374066591262 , 0.07998610865474065 , 0.8990863561630249 , 0.7619630038738251 , 0.502240777015686
vit_b_16     , patch_shuffle        ,  500,   0.6290247312784195 , 0.11942895012485719 , 0.6328456401824951 , 0.4634510785341263 , 0.24909865856170654
vit_b_16     , translation_right_8  ,  500,   0.9508196251392365 , 0.028659512173012262, 0.9570649862289429 , 0.9169544160366059 , 0.7484509944915771
vit_b_16     , translation_left_8   ,  500,   0.9508204731941223 , 0.02989809304316479 , 0.9569631814956665 , 0.9158036291599274 , 0.7444104552268982
vit_b_16     , translation_down_8   ,  500,   0.9432018719911576 , 0.03183527566280677 , 0.9485189914703369 , 0.9030727505683899 , 0.7670591473579407
vit_b_16     , translation_up_8     ,  500,   0.9423539727926254 , 0.03354329057904842 , 0.9490789175033569 , 0.899675863981247  , 0.7711753845214844
vit_b_16     , translation_right_16 ,  500,   0.9767111365795136 , 0.0241954582790558  , 0.9822031259536743 , 0.9551633536815644 , 0.7637231349945068
vit_b_16     , translation_left_16  ,  500,   0.9777875517606736 , 0.02296431413761244 , 0.9840684533119202 , 0.9521806538105011 , 0.7419514656066895
vit_b_16     , translation_down_16  ,  500,   0.9736765524148941 , 0.029209546178433837, 0.9837349057197571 , 0.9381955981254577 , 0.7439709901809692
vit_b_16     , translation_up_16    ,  500,   0.9769658125638961 , 0.02438522178876795 , 0.9851640462875366 , 0.9464623868465424 , 0.8403010964393616
vit_b_16     , translation_right_32 ,  500,   0.9492788920402527 , 0.04313020937887908 , 0.9595498442649841 , 0.9023928880691529 , 0.6652743816375732
vit_b_16     , translation_left_32  ,  500,   0.9507483030557633 , 0.03987268796614336 , 0.9603179693222046 , 0.9050295412540436 , 0.6652809381484985
vit_b_16     , translation_down_32  ,  500,   0.9380990315675736 , 0.05163302004320529 , 0.9530448913574219 , 0.8682947099208832 , 0.6835682392120361
vit_b_16     , translation_up_32    ,  500,   0.9421666281223298 , 0.047401268157404794, 0.9553922414779663 , 0.874506163597107  , 0.7095547318458557
vit_b_16     , cue_conflict         ,  200,   0.47992838427424434, 0.17832188749133185 , 0.49540671706199646, 0.23449247479438784, 0.047967687249183655
vit_b_16     , translation_8px_mean , 2000,   0.9467989857792855 ,                     ,                    ,                    , 0.7444104552268982
vit_b_16     , translation_16px_mean, 2000,   0.9762852633297443 ,                     ,                    ,                    , 0.7419514656066895
vit_b_16     , translation_32px_mean, 2000,   0.9450732136964799 ,                     ,                    ,                    , 0.6652743816375732
clip_vit_b_32, grey_scale           ,  500,   0.8883438166379929 , 0.04183506762296554 , 0.8943197727203369 , 0.8367961943149567 , 0.6800619959831238
clip_vit_b_32, hue                  ,  500,   0.954199443101883  , 0.02590183105669003 , 0.9595117568969727 , 0.9214859247207642 , 0.7894331812858582
clip_vit_b_32, patch_shuffle        ,  500,   0.7482632626295089 , 0.056939703732819966, 0.7526341676712036 , 0.6736428081989289 , 0.5347141623497009
clip_vit_b_32, translation_right_8  ,  500,   0.9783327088356019 , 0.0125429563949828  , 0.9816417098045349 , 0.9613604247570038 , 0.8893803954124451
clip_vit_b_32, translation_left_8   ,  500,   0.978417023897171  , 0.012398505455396319, 0.9813947081565857 , 0.9623374462127685 , 0.8924607038497925
clip_vit_b_32, translation_down_8   ,  500,   0.9784544560909271 , 0.011038012424679017, 0.9804154634475708 , 0.9644677579402924 , 0.9153813123703003
clip_vit_b_32, translation_up_8     ,  500,   0.9775703066587448 , 0.013590725819387021, 0.980736255645752  , 0.9638975858688354 , 0.8809580206871033
clip_vit_b_32, translation_right_16 ,  500,   0.9612375284433365 , 0.02257221851708495 , 0.9671465158462524 , 0.9327177107334137 , 0.8324167132377625
clip_vit_b_32, translation_left_16  ,  500,   0.9604339935779571 , 0.023576272844845456, 0.9662525653839111 , 0.9307389259338379 , 0.820006251335144
clip_vit_b_32, translation_down_16  ,  500,   0.9668975811004639 , 0.015793496956353764, 0.9700896143913269 , 0.9460325121879578 , 0.9009248614311218
clip_vit_b_32, translation_up_16    ,  500,   0.9660955274105072 , 0.0167388254487892  , 0.969912052154541  , 0.9424879372119903 , 0.8789220452308655
clip_vit_b_32, translation_right_32 ,  500,   0.9619467985630036 , 0.02565408444880839 , 0.9674485921859741 , 0.93352792263031   , 0.7758700847625732
clip_vit_b_32, translation_left_32  ,  500,   0.9614343354701996 , 0.024837527851004206, 0.9667308926582336 , 0.9292692184448242 , 0.8194610476493835
clip_vit_b_32, translation_down_32  ,  500,   0.9714344618320465 , 0.019835514761198575, 0.9753730297088623 , 0.9461823046207428 , 0.8278024792671204
clip_vit_b_32, translation_up_32    ,  500,   0.9730939705371857 , 0.018737830165268036, 0.976677417755127  , 0.9538079977035523 , 0.8613466620445251
clip_vit_b_32, cue_conflict         ,  200,   0.7754221886396409 , 0.08035122596162268 , 0.7758376598358154 , 0.6736885249614716 , 0.5283069014549255
clip_vit_b_32, translation_8px_mean , 2000,   0.9781936238706112 ,                     ,                    ,                    , 0.8809580206871033
clip_vit_b_32, translation_16px_mean, 2000,   0.9636661576330663 ,                     ,                    ,                    , 0.820006251335144
clip_vit_b_32, translation_32px_mean, 2000,   0.9669773916006089 ,                     ,                    ,                    , 0.7758700847625732
