model_name             , condition           , displacement, direction, translation_x, translation_y, accuracy_pct     , accuracy_change_pp  , prediction_consistency_pct
resnet50               , baseline            ,            0, none     , 0            , 0            , 97.79999852180481, 0.0                 ,         100.0
resnet50               , translation_right_8 ,            8, right    , 8            , 0            , 97.2000002861023 , -0.5999982357025146 ,          99.00000095367432
resnet50               , translation_left_8  ,            8, left     , -8           , 0            , 97.39999771118164, -0.40000081062316895,          99.19999837875366
resnet50               , translation_down_8  ,            8, down     , 0            , 8            , 97.39999771118164, -0.40000081062316895,          99.40000176429749
resnet50               , translation_up_8    ,            8, up       , 0            , -8           , 97.60000109672546, -0.1999974250793457 ,          99.40000176429749
resnet50               , translation_right_16,           16, right    , 16           , 0            , 97.2000002861023 , -0.5999982357025146 ,          99.19999837875366
resnet50               , translation_left_16 ,           16, left     , -16          , 0            , 96.60000205039978, -1.1999964714050293 ,          98.00000190734863
resnet50               , translation_down_16 ,           16, down     , 0            , 16           , 97.00000286102295, -0.7999956607818604 ,          98.7999975681305
resnet50               , translation_up_16   ,           16, up       , 0            , -16          , 97.2000002861023 , -0.5999982357025146 ,          99.19999837875366
resnet50               , translation_right_32,           32, right    , 32           , 0            , 97.00000286102295, -0.7999956607818604 ,          99.00000095367432
resnet50               , translation_left_32 ,           32, left     , -32          , 0            , 97.00000286102295, -0.7999956607818604 ,          98.19999933242798
resnet50               , translation_down_32 ,           32, down     , 0            , 32           , 97.79999852180481, 0.0                 ,          99.00000095367432
resnet50               , translation_up_32   ,           32, up       , 0            , -32          , 97.2000002861023 , -0.5999982357025146 ,          98.19999933242798
vit_b_16               , baseline            ,            0, none     , 0            , 0            , 98.7999975681305 , 0.0                 ,         100.0
vit_b_16               , translation_right_8 ,            8, right    , 8            , 0            , 98.4000027179718 , -0.3999948501586914 ,          99.00000095367432
vit_b_16               , translation_left_8  ,            8, left     , -8           , 0            , 98.19999933242798, -0.5999982357025146 ,          99.00000095367432
vit_b_16               , translation_down_8  ,            8, down     , 0            , 8            , 98.7999975681305 , 0.0                 ,          99.59999918937683
vit_b_16               , translation_up_8    ,            8, up       , 0            , -8           , 98.7999975681305 , 0.0                 ,          98.7999975681305
vit_b_16               , translation_right_16,           16, right    , 16           , 0            , 98.4000027179718 , -0.3999948501586914 ,          99.59999918937683
vit_b_16               , translation_left_16 ,           16, left     , -16          , 0            , 99.00000095367432, 0.20000338554382324 ,          99.80000257492065
vit_b_16               , translation_down_16 ,           16, down     , 0            , 16           , 98.7999975681305 , 0.0                 ,          99.40000176429749
