method,class,support,baseline_accuracy_pct,method_accuracy_pct,change_pp,confused_with,confused_count
erm,dog,772,36.787564766839374,36.787564766839374,0.0,person,238
erm,elephant,740,88.78378378378379,88.78378378378379,0.0,person,71
erm,giraffe,753,23.50597609561753,23.50597609561753,0.0,person,394
erm,guitar,608,83.05921052631578,83.05921052631578,0.0,person,79
erm,horse,816,45.588235294117645,45.588235294117645,0.0,person,297
erm,house,80,45.0,45.0,0.0,person,37
erm,person,160,98.75,98.75,0.0,elephant,2
dan_dg,dog,772,36.787564766839374,36.65803108808291,-0.12953367875646649,elephant,299
dan_dg,elephant,740,88.78378378378379,96.21621621621622,7.432432432432435,dog,21
dan_dg,giraffe,753,23.50597609561753,44.8871181938911,21.381142098273568,horse,226
dan_dg,guitar,608,83.05921052631578,95.55921052631578,12.5,elephant,11
dan_dg,horse,816,45.588235294117645,73.0392156862745,27.450980392156858,elephant,115
dan_dg,house,80,45.0,93.75,48.75,elephant,2
dan_dg,person,160,98.75,65.0,-33.75,elephant,34
sam,dog,772,36.787564766839374,30.181347150259068,-6.606217616580306,elephant,401
sam,elephant,740,88.78378378378379,98.51351351351352,9.729729729729726,dog,4
sam,giraffe,753,23.50597609561753,56.30810092961488,32.802124833997354,elephant,172
sam,guitar,608,83.05921052631578,85.36184210526315,2.30263157894737,elephant,69
sam,horse,816,45.588235294117645,55.63725490196079,10.049019607843142,elephant,213
sam,house,80,45.0,81.25,36.25,elephant,13
sam,person,160,98.75,70.0,-28.75,elephant,46
dan_dg_lambda0.1,dog,772,36.787564766839374,59.84455958549223,23.056994818652853,elephant,125
dan_dg_lambda0.1,elephant,740,88.78378378378379,82.02702702702702,-6.756756756756772,person,81
dan_dg_lambda0.1,giraffe,753,23.50597609561753,69.05710491367863,45.5511288180611,dog,87
dan_dg_lambda0.1,guitar,608,83.05921052631578,96.05263157894737,12.99342105263159,elephant,22
dan_dg_lambda0.1,horse,816,45.588235294117645,53.18627450980392,7.598039215686278,dog,155
dan_dg_lambda0.1,house,80,45.0,86.25,41.25,elephant,7
dan_dg_lambda0.1,person,160,98.75,88.125,-10.625,dog,8
dan_dg_lambda10,dog,772,36.787564766839374,11.78756476683938,-24.999999999999993,elephant,319
dan_dg_lambda10,elephant,740,88.78378378378379,30.405405405405407,-58.378378378378386,house,396
dan_dg_lambda10,giraffe,753,23.50597609561753,0.0,-23.50597609561753,elephant,343
dan_dg_lambda10,guitar,608,83.05921052631578,0.6578947368421052,-82.40131578947367,elephant,406
dan_dg_lambda10,horse,816,45.588235294117645,0.0,-45.588235294117645,house,323
dan_dg_lambda10,house,80,45.0,63.74999999999999,18.749999999999993,elephant,21
dan_dg_lambda10,person,160,98.75,27.500000000000004,-71.25,elephant,84
